,text,labels_D,labels_T,labels_direct_D,labels_direct_T,labels_indirect_D,labels_indirect_T
21,"Neemt voor het vleesch, het geen men daar in legt, het vleesch van de schouwder van een Os dat het malste is; of anders een van de platte billen.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}, {'span': 'Os', 'type': 'Animals-Organisms-Literal'}, {'span': 'billen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}, {'span': 'Os', 'type': 'Animals-Organisms-Literal'}, {'span': 'billen', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}, {'span': 'Os', 'type': 'Animals-Organisms-Literal'}, {'span': 'platte billen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}, {'span': 'Os', 'type': 'Animals-Organisms-Literal'}, {'span': 'billen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'os', 'type': 'Animals-Organisms-Literal'}, {'span': 'billen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'os', 'type': 'Animals-Organisms-Literal'}, {'span': 'billen', 'type': 'Animals-Parts-Literal'}]"
22,"Ja zy zyn het zelven, die gemeenlyk het begin der aardbranden veroorzaken.",[],[],[],[],[],[]
23,"§. XXXIV. Hebben geen Zwynen, maar wel Honden en Katten.","[{'span': 'Zwynen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Honden', 'type': 'Animals-Organisms-Literal'}, {'span': 'Katten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Zwynen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Honden', 'type': 'Animals-Organisms-Literal'}, {'span': 'Katten', 'type': 'Animals-Organisms-Literal'}]",[],"[{'span': 'Zwijnen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Honden', 'type': 'Animals-Organisms-Literal'}, {'span': 'Katten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'zwynen', 'type': 'Animals-Organisms-Literal'}, {'span': 'honden', 'type': 'Animals-Organisms-Literal'}, {'span': 'katten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'zwynen', 'type': 'Animals-Organisms-Literal'}, {'span': 'honden', 'type': 'Animals-Organisms-Literal'}, {'span': 'katten', 'type': 'Animals-Organisms-Literal'}]"
24,"Doch wat de eigentlyke en natuurlyke oorzaak dezer zeldzaamheid zyn mag, is niet zeer ligt te beseffen  w.",[],[],[],[],[],[]
25,"Reusel, hoe men die wel zal smelten.","[{'span': 'Reusel', 'type': 'Animals-Products-Literal'}]","[{'span': 'Reusel', 'type': 'Animals-Products-Literal'}]",[],[],"[{'span': 'reusel', 'type': 'Animals-Organisms-Symbolical'}]",[]
26,"Van harde of Coraalachtige Zeegewassen wist myn berichter te zeggen, dat enigen van dezelven op de gronden gevonden wierden; doch konde hen niet noemen of beschryven, nadien hy, volgens zyne eigen belydenis, 'er nooit naar gezien had.","[{'span': 'Zeegewassen', 'type': 'Plants-Organisms-Literal'}]","[{'span': 'Zeegewassen', 'type': 'Plants-Organisms-Literal'}]","[{'span': 'Coraalachtige Zeegewassen', 'type': 'Plants-Organisms-Literal'}]","[{'span': 'Coraalachtige', 'type': 'Animals-Collective-Literal'}, {'span': 'Zeegewassen', 'type': 'Plants-Collective-Literal'}]","[{'span': 'zeegewassen', 'type': 'Plants-Organisms-Literal'}]","[{'span': 'zeegewassen', 'type': 'Animals-Collective-Literal'}]"
27,"Dezen zyn de Snoriper op de lappische Alpen, die zich  a steeds op het land houden, meer lopen dan vliegen, en mitsdien niet bezwaarlyk te vangen zyn.",[],"[{'span': 'Snoriper', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Snoriper', 'type': 'Animals-Organisms-Literal'}]",[],"[{'span': 'vliegen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'snoriper', 'type': 'Animals-Organisms-Literal'}, {'span': 'vliegen', 'type': 'Animals-Organisms-Literal'}]"
28,"Men moet zich verwonderen, wat zy konnen uitstaan; doch zy worden wel degelyk door de ongemakken verhard, nadien zy jaar uit jaar in in het open veld onder den bloten Hemel blyven, en 's winters onder de sneeuw zowel, als 's zomers, hun voeder zelven moeten zoeken, waar toe zy alleen de weldaad van de natuur genieten, dat zy met byzondere styve, lange en dikke hairen, allermeest tegen den wintertyd, bedekt zyn.","[{'span': 'veld', 'type': 'Plants-Collective-Literal'}, {'span': 'hairen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'hairen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'hairen', 'type': 'Animals-Parts-Literal'}]",[],"[{'span': 'veld', 'type': 'Plants-Collective-Literal'}, {'span': 'voeder', 'type': 'Animals-Products-Literal'}, {'span': 'hairen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'veld', 'type': 'Plants-Collective-Literal'}, {'span': 'hairen', 'type': 'Animals-Parts-Literal'}]"
29,"Vervol-gens bragt men het zieke volk aan land, 't geen, ofschoon het, behalven enig Lepelblad, niet als Zuring in warme Melk en een weinig Schapenvleesch nuttigde, nochtans velen binnen acht en de anderen binnen veertien dagen zo fris en gezond werden, dat zy huppelden en sprongen, en in minder dan vier weken na hun komst weder scheep gaan, zelven hun anker lichten, en die lange en bezwaarlyke reize voorts vrolyk voleinden konden.","[{'span': 'Lepelblad', 'type': 'Plants-Products-Literal'}, {'span': 'Zuring', 'type': 'Plants-Products-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'Schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'Lepelblad', 'type': 'Plants-Products-Literal'}, {'span': 'Zuring', 'type': 'Plants-Products-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'Schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'Lepelblad', 'type': 'Plants-Organisms-Literal'}, {'span': 'Zuring', 'type': 'Plants-Organisms-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'Schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'Lepelblad', 'type': 'Plants-Organisms-Literal'}, {'span': 'Zuring', 'type': 'Plants-Organisms-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'Schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'zuring', 'type': 'Plants-Products-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'lepelblad', 'type': 'Plants-Products-Literal'}, {'span': 'melk', 'type': 'Plants-Products-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]"
30,"Het vleesch snyd men eerst aan stukken als Ossekarbenaden; en dan snyd men het aan lange reepen omtrent een vinger dik en vierkant; men snyd het vet ook aan zulke langwerpige stukken; en dan bestrooid men de pens met wat geprepareerd zout en kruit, gelyk ik boven gezegt heb.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'Ossekarbenaden', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'kruit', 'type': 'Plants-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'Ossekarbenaden', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'kruit', 'type': 'Plants-Products-Literal'}]",[],[],"[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'zout', 'type': 'Plants-Products-Literal'}, {'span': 'kruit', 'type': 'Plants-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'zout', 'type': 'Animals-Products-Literal'}]"
31,"Men neemt 3 loot bruine peper, en een halfvierendeel nagelen; dit te zaamen eerst fyn gestoten en in een aarde schootel gedaan, en een hand vol gedroogde Saly, die men op den haart wat te droogen legt en die klein gewreven is, en een hand vol of vier zout daar onder geroert, tot men denkt dat men genoeg zal hebben; want den een doet het wel wat hartiger dan den ander.","[{'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'Saly', 'type': 'Plants-Products-Literal'}]","[{'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'Saly', 'type': 'Plants-Products-Literal'}]",[],"[{'span': 'bruine peper', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'Saly', 'type': 'Plants-Products-Literal'}]","[{'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'saly', 'type': 'Plants-Products-Literal'}, {'span': 'haart', 'type': 'Animals-Parts-Literal'}]","[{'span': 'bruine', 'type': 'Plants-Products-Literal'}, {'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'saly', 'type': 'Plants-Products-Literal'}]"
32,"Men behoefd 'er geen Sukade nog Amandelen in te doen als men niet wil, en is evenwel goed maar zo lekker niet.","[{'span': 'Sukade', 'type': 'Plants-Products-Literal'}, {'span': 'Amandelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'Sukade', 'type': 'Animals-Products-Literal'}, {'span': 'Amandelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'Sukade', 'type': 'Plants-Products-Literal'}, {'span': 'Amandelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'Sukade', 'type': 'Plants-Products-Literal'}, {'span': 'Amandelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'sukade', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'sukade', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}]"
33,"De Harsten laat men een dag of vyf in het zout leggen en men moet ze niet te groot laaten hakken, om dat ze anders te ongeschikt zyn, en ieder een doet dit naa de groote van zyn huisgezin, ook zyn die Harsten dus zeer goed om in den Oven gezet en gebraaden te worden.","[{'span': 'Harsten', 'type': 'Animals-Products-Literal'}, {'span': 'Harsten', 'type': 'Animals-Products-Literal'}]","[{'span': 'Harsten', 'type': 'Animals-Products-Literal'}, {'span': 'Harsten', 'type': 'Animals-Products-Literal'}]","[{'span': 'Harsten', 'type': 'Animals-Organisms-Literal'}, {'span': 'Harsten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Harsten', 'type': 'Animals-Organisms-Literal'}, {'span': 'Harsten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'harsten', 'type': 'Animals-Products-Literal'}, {'span': 'harsten', 'type': 'Animals-Products-Literal'}]","[{'span': 'harsten', 'type': 'Plants-Products-Literal'}, {'span': 'harsten', 'type': 'Plants-Products-Literal'}]"
34,"Het vleesch om in de Kuip in te zouten, daar neemt men toe de zes klapstukken van de buyk, de twee staartstukken, de schouwderbladeren, de twee borststukken, de vier andere ribben, als men de twee beste ribben wil in de rook hangen, anders kan men ook de Paterstukken inzouten, en dan nog de twee ongeschikte ribben die by de schouders zitten; en men laat die stukken groot of klein hakken naa dat men het wil hebben en het huisgezin groot is.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'buyk', 'type': 'Animals-Products-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Products-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Products-Literal'}, {'span': 'borststukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'Paterstukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'schouders', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'klapstukken', 'type': 'Animals-Products-Literal'}, {'span': 'buyk', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Products-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Products-Literal'}, {'span': 'borststukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'Paterstukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'schouders', 'type': 'Animals-Parts-Literal'}]",[],"[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'buyk', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Parts-Literal'}, {'span': 'borststukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'Paterstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouders', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'buyk', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Parts-Literal'}, {'span': 'borststukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'paterstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'buyk', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Plants-Parts-Literal'}, {'span': 'borststukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'paterstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}]"
35,"Mitsdien ziet men zelden op Ysland andere, dan uitgebrande bergen, aan en om welke men bequaam de werkingen en overgebleven tekenen van een vorigen brand bespeuren kan.",[],[],[],[],[],[]
36,"Buiten dien tyd leggen de inwoonders, nadien de Vossen de schapen zeer schadelyk zyn, kraanogen (nuces vomicae) in honig geweekt, die zy, anders niets zoets te eten bekomende, zeer begerig inzwelgen.","[{'span': 'Vossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapen', 'type': 'Animals-Organisms-Literal'}, {'span': 'kraanogen', 'type': 'Plants-Products-Literal'}, {'span': 'nuces vomicae', 'type': 'Plants-Products-Literal'}, {'span': 'honig', 'type': 'Animals-Products-Literal'}]","[{'span': 'Vossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapen', 'type': 'Animals-Organisms-Literal'}, {'span': 'nuces vomicae', 'type': 'Plants-Products-Literal'}, {'span': 'honig', 'type': 'Animals-Products-Literal'}]","[{'span': 'Vossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapen', 'type': 'Animals-Organisms-Literal'}, {'span': 'kraanogen (nuces vomicae)', 'type': 'Plants-Products-Literal'}, {'span': 'honig', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'vossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapen', 'type': 'Animals-Organisms-Literal'}, {'span': 'honig', 'type': 'Plants-Products-Literal'}]","[{'span': 'vossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapen', 'type': 'Animals-Organisms-Literal'}, {'span': 'honig', 'type': 'Plants-Products-Literal'}]"
37,Neemt 4 kop Gort schoon afgewasschen: 4 pond korenten die wel verlezen en schoon gewassen zyn: 8 loot gestoote kaneel: 1 loot gestoote nagelen: 3 loot gestoote notemuscaaten; 1/2 pond poeijer-zuiker: 1 pond gepelde amandelen in stukjes gesneden: 6 sukade schellen aan stukjes gesneden: Een hand vol zout: 10 pond of daar omtrent Osse-niervet aan dobbelsteentjes gesneden.,"[{'span': 'Gort', 'type': 'Plants-Products-Literal'}, {'span': 'korenten', 'type': 'Plants-Products-Literal'}, {'span': 'kaneel', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'notemuscaaten', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}, {'span': 'sukade schellen', 'type': 'Plants-Products-Literal'}, {'span': 'Osse-niervet', 'type': 'Animals-Products-Literal'}]","[{'span': 'Gort', 'type': 'Plants-Products-Literal'}, {'span': 'kaneel', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'notemuscaaten', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}, {'span': 'sukade schellen', 'type': 'Animals-Products-Literal'}, {'span': 'Osse-niervet', 'type': 'Animals-Products-Literal'}]","[{'span': 'Gort', 'type': 'Plants-Products-Literal'}, {'span': 'korenten', 'type': 'Plants-Products-Literal'}, {'span': 'kaneel', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'notemuscaaten', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}, {'span': 'sukade', 'type': 'Plants-Products-Literal'}, {'span': 'Osse-niervet', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'gort', 'type': 'Plants-Products-Literal'}, {'span': 'korenten', 'type': 'Plants-Products-Literal'}, {'span': 'kaneel', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'notemuscaaten', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}, {'span': 'sukade', 'type': 'Plants-Products-Literal'}, {'span': 'schellen', 'type': 'Plants-Products-Literal'}, {'span': 'osse', 'type': 'Animals-Products-Literal'}, {'span': 'niervet', 'type': 'Animals-Products-Literal'}]","[{'span': 'gort', 'type': 'Plants-Products-Literal'}, {'span': 'korenten', 'type': 'Plants-Products-Literal'}, {'span': 'kaneel', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'notemuscaaten', 'type': 'Plants-Products-Literal'}, {'span': 'amandelen', 'type': 'Plants-Products-Literal'}, {'span': 'sukade', 'type': 'Plants-Products-Literal'}, {'span': 'schellen', 'type': 'Plants-Products-Literal'}, {'span': 'zout', 'type': 'Plants-Products-Literal'}, {'span': 'osse', 'type': 'Animals-Products-Literal'}, {'span': 'niervet', 'type': 'Animals-Products-Literal'}]"
38,"Het zoude gezwellen verwekken, en, als men 'er veel van eet, sterk openende zyn.",[],[],[],[],"[{'span': 'gezwellen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'gezwellen', 'type': 'Animals-Parts-Literal'}]"
39,"de Ravens verjagen; doch het Lam, vermits het, zyn voeder niet konnende zoeken, elendig omkomen moet, slagten, en het het zachte vel afstropen, 't geen de peltery geeft, die in Denmarken en Holstein onder den naam van Schmaaskin of Schmaasken x verkogt en zeer veel door lieden van een middelbaar vermogen gedragen word.","[{'span': 'Ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'Lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'Lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Products-Literal'}]","[{'span': 'Ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'Lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Parts-Literal'}, {'span': 'peltery', 'type': 'Animals-Products-Literal'}]","[{'span': 'Ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'Lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Parts-Literal'}, {'span': 'peltery', 'type': 'Animals-Products-Literal'}]","[{'span': 'ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Parts-Literal'}]","[{'span': 'ravens', 'type': 'Animals-Organisms-Literal'}, {'span': 'lam', 'type': 'Animals-Organisms-Literal'}, {'span': 'vel', 'type': 'Animals-Parts-Literal'}]"
40,"Neemt een van de grootste Kalfskoppen, en reinigt die, en wascht ze vier of vyfmalen ter degen schoon af, en laatze een nacht in schoon regen water staan te trekken, dat 'er de slym en het bloedige wel schoon af is, en hangt de kop met schoon regen-water over het vuur; en doet ook in de keetel, de nek van het Varken, en de twee ooren met wat veel zwoort dat 'er genoeg is om
het vleesch in het hakkebord van booven en onderen te bedekken; en als men te veel zwoort en niet genoeg vleesch heeft, zo doet men 'er wel een of twee van de vleesigste stukken van het varken by, en men laat het te zaamen een uur of drie kooken, na dat men het alvorens wel schoon geschuimt heeft, en het moet zeer gaar zyn tot dat het vleesch van de beenen af valt, en dan schept men het uit op een aarde vergiettest of doorslag.","[{'span': 'Kalfskoppen', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Products-Literal'}, {'span': 'nek', 'type': 'Animals-Products-Literal'}, {'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'ooren', 'type': 'Animals-Products-Literal'}, {'span': 'zwoort', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'zwoort', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Parts-Literal'}, {'span': 'varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beenen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Kalfskoppen', 'type': 'Animals-Products-Literal'}, {'span': 'slym', 'type': 'Animals-Parts-Literal'}, {'span': 'bloedige', 'type': 'Animals-Parts-Literal'}, {'span': 'kop', 'type': 'Animals-Products-Literal'}, {'span': 'nek', 'type': 'Animals-Products-Literal'}, {'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'ooren', 'type': 'Animals-Products-Literal'}, {'span': 'zwoort', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'zwoort', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beenen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Kalfskoppen', 'type': 'Animals-Parts-Literal'}, {'span': 'nek van het Varken', 'type': 'Animals-Parts-Literal'}, {'span': 'twee ooren', 'type': 'Animals-Parts-Literal'}, {'span': 'veel zwoort', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesigste stukken van het varken', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Kalfskoppen', 'type': 'Animals-Parts-Literal'}, {'span': 'nek van het Varken', 'type': 'Animals-Parts-Literal'}, {'span': 'oren', 'type': 'Animals-Parts-Literal'}, {'span': 'vlees', 'type': 'Animals-Products-Literal'}, {'span': 'vleesigste stukken van het varken', 'type': 'Animals-Parts-Literal'}]","[{'span': 'kalfskoppen', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Parts-Literal'}, {'span': 'nek', 'type': 'Animals-Parts-Literal'}, {'span': 'varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'ooren', 'type': 'Animals-Parts-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'varken', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beenen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'kalfskoppen', 'type': 'Animals-Products-Literal'}, {'span': 'slym', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Parts-Literal'}, {'span': 'nek', 'type': 'Animals-Parts-Literal'}, {'span': 'varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'ooren', 'type': 'Animals-Parts-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beenen', 'type': 'Animals-Products-Literal'}]"
